Nominal_dB,Lower_Limit_dB,Upper_Limit_dB,Tolerance_dB,8496G_Setting_dB,8494G_Setting_dB
0,0.0,0.0,0.0,0,0
1,0.8,1.2,0.2,0,1
2,1.7,2.3,0.3,0,2
3,2.7,3.3,0.3,0,3
4,3.7,4.3,0.3,0,4
5,4.7,5.3,0.3,0,5
6,5.7,6.3,0.3,0,6
7,6.6,7.4,0.4,0,7
8,7.6,8.4,0.4,0,8
9,8.6,9.4,0.4,0,9
10,9.8,10.2,0.2,10,0
11,10.6,11.4,0.4,10,1
12,11.5,12.5,0.5,10,2
13,12.5,13.5,0.5,10,3
14,13.5,14.5,0.5,10,4
15,14.5,15.5,0.5,10,5
16,15.5,16.5,0.5,10,6
17,16.4,17.6,0.6,10,7
18,17.4,18.6,0.6,10,8
19,18.4,19.6,0.6,10,9
20,19.7,20.3,0.3,20,0
21,20.5,21.5,0.5,20,1
22,21.4,22.6,0.6,20,2
23,22.4,23.6,0.6,20,3
24,23.4,24.6,0.6,20,4
25,24.4,25.6,0.6,20,5
26,25.4,26.6,0.6,20,6
27,26.3,27.7,0.7,20,7
28,27.3,28.7,0.7,20,8
29,28.3,29.7,0.7,20,9
30,29.7,30.3,0.3,30,0
31,30.5,31.5,0.5,30,1
32,31.4,32.6,0.6,30,2
33,32.4,33.6,0.6,30,3
34,33.4,34.6,0.6,30,4
35,34.4,35.6,0.6,30,5
36,35.4,36.6,0.6,30,6
37,36.3,37.7,0.7,30,7
38,37.3,38.7,0.7,30,8
39,38.3,39.7,0.7,30,9
40,39.7,40.3,0.3,40,0
41,40.5,41.5,0.5,40,1
42,41.4,42.6,0.6,40,2
43,42.4,43.6,0.6,40,3
44,43.4,44.6,0.6,40,4
45,44.4,45.6,0.6,40,5
46,45.4,46.6,0.6,40,6
47,46.3,47.7,0.7,40,7
48,47.3,48.7,0.7,40,8
49,48.3,49.7,0.7,40,9
50,49.7,50.3,0.3,50,0
51,50.5,51.5,0.5,50,1
52,51.4,52.6,0.6,50,2
53,52.4,53.6,0.6,50,3
54,53.4,54.6,0.6,50,4
55,54.4,55.6,0.6,50,5
56,55.4,56.6,0.6,50,6
57,56.3,57.7,0.7,50,7
58,57.3,58.7,0.7,50,8
59,58.3,59.7,0.7,50,9
60,59.7,60.3,0.3,60,0
61,60.5,61.5,0.5,60,1
62,61.4,62.6,0.6,60,2
63,62.4,63.6,0.6,60,3
64,63.4,64.6,0.6,60,4
65,64.4,65.6,0.6,60,5
66,65.4,66.6,0.6,60,6
67,66.3,67.7,0.7,60,7
68,67.3,68.7,0.7,60,8
69,68.3,69.7,0.7,60,9
70,69.6,70.4,0.4,70,0
71,70.4,71.6,0.6,70,1
72,71.3,72.7,0.7,70,2
73,72.3,73.7,0.7,70,3
74,73.3,74.7,0.7,70,4
75,74.3,75.7,0.7,70,5
76,75.3,76.7,0.7,70,6
77,76.2,77.8,0.8,70,7
78,77.2,78.8,0.8,70,8
79,78.2,79.8,0.8,70,9
80,79.6,80.4,0.4,80,0
81,80.4,81.6,0.6,80,1
82,81.3,82.7,0.7,80,2
83,82.3,83.7,0.7,80,3
84,83.3,84.7,0.7,80,4
85,84.3,85.7,0.7,80,5
86,85.3,86.7,0.7,80,6
87,86.2,87.8,0.8,80,7
88,87.2,88.8,0.8,80,8
89,88.2,89.8,0.8,80,9
90,89.6,90.4,0.4,90,0
91,90.4,91.6,0.6,90,1
92,91.3,92.7,0.7,90,2
93,92.3,93.7,0.7,90,3
94,93.3,94.7,0.7,90,4
95,94.3,95.7,0.7,90,5
96,95.3,96.7,0.7,90,6
97,96.2,97.8,0.8,90,7
98,97.2,98.8,0.8,90,8
99,98.2,99.8,0.8,90,9
100,99.6,100.4,0.4,100,0
101,100.4,101.6,0.6,100,1
102,101.3,102.7,0.7,100,2
103,102.3,103.7,0.7,100,3
104,103.3,104.7,0.7,100,4
105,104.3,105.7,0.7,100,5
106,105.3,106.7,0.7,100,6
107,106.2,107.8,0.8,100,7
108,107.2,108.8,0.8,100,8
109,108.2,109.8,0.8,100,9
110,109.5,110.5,0.5,110,0
111,110.3,111.7,0.7,110,1
112,111.2,112.8,0.8,110,2
113,112.2,113.8,0.8,110,3
114,113.2,114.8,0.8,110,4
115,114.2,115.8,0.8,110,5
116,115.2,116.8,0.8,110,6
117,116.1,117.9,0.9,110,7
118,117.1,118.9,0.9,110,8
119,118.1,119.9,0.9,110,9
120,119.1,120.9,0.9,110,10
121,120.0,122.0,1.0,110,11
